track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0 + 2 = 1,Nomeansno,spotify:track:3CYfCp9XAHc69wtCKTwMaj,0.561,0.667,8,-8.519,0,0.0652,0.0539,0,0.0797,0.383,100.047,4
00-711,Ventures,spotify:track:4pmBfTbtSo1uIY6kahXLd3,0.516,0.787,9,-11.329,1,0.0313,0.00496,0.744,0.176,0.873,94.372,4
0169 - House Of Rising Sun,Animals,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3
1 2 3 4 Sumpin New,Coolio,spotify:track:7A4Oayl8zWCtIhsVS9HQIv,0.91,0.681,1,-9.629,0,0.153,0.287,0.00473,0.372,0.699,115.185,4
1 2 Step,Ciara,spotify:track:7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,4
1 Zero,Audioslave,spotify:track:0wxR6vA8Je5JHiTsZSmG01,0.27,0.782,9,-3.992,1,0.0441,0.131,0,0.321,0.413,142.99,4
"1,000 Hours",Green Day,spotify:track:2bliENmIxLMfB5cNVRvqAM,0.141,0.966,6,-4.102,0,0.103,0.00207,0,0.335,0.646,179.954,4
"1,000 More Fools",Bad Religion,spotify:track:1pSGzkQRKnZLzfEYvOgNTB,0.417,0.993,0,-3.061,1,0.0647,0.00109,0,0.299,0.707,149.666,4
 1-2-3,Gloria Estefan,spotify:track:1pZWORSXTFlZnrfxChRBaz,0.756,0.855,7,-6.7,1,0.0687,0.102,2.48e-05,0.0185,0.699,126.423,4
10,Movie Themes,spotify:track:3vMLUf4BtGzQWT7RkW1ZZr,0.374,0.167,5,-12.926,1,0.0285,0.818,0.845,0.123,0.0365,96.341,3
10 AM Automatic,Black Keys,spotify:track:4HIx4KL2XRilgBf6WzfLqI,0.497,0.944,0,-3.31,1,0.103,0.597,0.119,0.0376,0.511,122.582,4
